Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
20.050000000000335,4.368453733804631,679071.8615975803,0.0432,1.3177,0.97,19768.65713584231,4.5,3.037606309295126,890.009232671312,0,1.3308474245095048,935,0.112,1.33
20.060000000000336,4.360699966831714,677908.6826701794,0.0432,1.3177,0.97,19734.795498063166,4.5,3.031769810856653,890.009232671312,0,1.3289301559750601,935,0.112,1.33
20.070000000000338,4.352959484601563,673169.0363982639,0.0432,1.316,0.97,19663.28200996921,4.5,3.0259453447299687,890.009232671312,0,1.3270141398715944,935,0.112,1.33
20.08000000000034,4.345221792323157,672926.4021037736,0.0432,1.316,0.97,19656.194657016407,4.5,3.0201234457524913,890.009232671312,0,1.3250983465706656,935,0.112,1.33
20.09000000000034,4.33750005212178,671539.0904124135,0.0432,1.316,0.97,19615.67125271829,4.5,3.0143159819028402,890.009232671312,0,1.3231840702189401,935,0.112,1.33
20.100000000000342,4.3297908827751534,670445.835240104,0.0432,1.316,0.97,19583.73724565671,4.5,3.0085199025535414,890.009232671312,0,1.3212709802216123,935,0.112,1.33
20.110000000000344,4.322095122667384,669279.6678839388,0.0432,1.316,0.97,19549.673472138864,4.5,3.002735961829718,890.009232671312,0,1.3193591608376658,935,0.112,1.33
20.120000000000346,4.3144125332130905,668134.2497091424,0.0432,1.316,0.97,19516.215782654406,4.5,2.996963942913587,890.009232671312,0,1.3174485902995037,935,0.112,1.33
20.130000000000347,4.3067431508240634,666985.6648934346,0.0432,1.316,0.97,19482.665595520917,4.5,2.991203876880199,890.009232671312,0,1.3155392739438645,935,0.112,1.33
20.14000000000035,4.299086941635294,665840.0252358092,0.0432,1.316,0.97,19449.201436518266,4.5,2.9854557314663612,890.009232671312,0,1.313631210168933,935,0.112,1.33
20.15000000000035,4.291443889731818,664695.7696658345,0.0432,1.316,0.97,19415.77770674562,4.5,2.9797194905874904,890.009232671312,0,1.3117243991443275,935,0.112,1.33
20.160000000000352,4.283813974592582,663553.2987632421,0.0432,1.316,0.97,19382.406107145533,4.5,2.973995134011151,890.009232671312,0,1.3098188405814308,935,0.112,1.33
20.170000000000353,4.276197176860665,662412.5112865078,0.0432,1.316,0.97,19349.083680450916,4.5,2.968282642556179,890.009232671312,0,1.3079145343044853,935,0.112,1.33
20.180000000000355,4.268593476866831,661273.4343966447,0.0432,1.316,0.97,19315.81122003554,4.5,2.9625819967625704,890.009232671312,0,1.3060114801042613,935,0.112,1.33
20.190000000000357,4.26100285500778,660136.0623595275,0.0432,1.316,0.97,19282.588558405485,4.5,2.956893177232214,890.009232671312,0,1.3041096777755656,935,0.112,1.33
20.200000000000358,4.253425291649752,659000.39782448,0.0432,1.316,0.97,19249.41577294756,4.5,2.9512161645420827,890.009232671312,0,1.3022091271076695,935,0.112,1.33
20.21000000000036,4.245860767153349,657866.4412810713,0.0432,1.316,0.97,19216.29287796208,4.5,2.9455509392666173,890.009232671312,0,1.3003098278867318,935,0.112,1.33
20.22000000000036,4.238309261867648,656734.1937325031,0.0432,1.316,0.97,19183.219902752597,4.5,2.9398974819724195,890.009232671312,0,1.298411779895228,935,0.112,1.33
