Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.66,4,0.1421131603447210914233385912,0.188684822131351,0.188684822131351,0.142808059453597,0.142808059453597,0.651081304667191,0.6626572911731744080327390998,0.4417601722300174080327390998,0.220897118943157,9.491865101481155179114134091,133.55346826953137976792437729,133.55346864503204659196612776,1736129000
11.67,4,0.1420898207625622647038598932,0.188639572716743,0.188639572716743,0.142784605746506,0.142784605746506,0.650770430549664,0.6623440178897712985133629453,0.4415358207862192985133629453,0.220808197103552,9.48737779228358966857473979,133.53539964399891346831377126,133.5354000169788662047426408,1737618000
11.68,4,0.1420665300200017030026306490,0.188594400416424,0.188594400416424,0.142761201117826,0.142761201117826,0.650459955650018,0.6620311482309950968096068257,0.4413117239556870968096068257,0.220719424275308,9.482896264579735314985700952,133.51734867438634185727639157,133.51734904484660879770142837,1739107000
11.69,4,0.1420432796576466519961932136,0.188549290399355,0.188549290399355,0.142737837066802,0.142737837066802,0.65014978973782,0.6617185911516490006141437093,0.4410877908489240006141437093,0.220630800302725,9.478419214243209806997063851,133.4993216146392290458199968,133.49932198258180772376887924,1740596000
11.70,4,0.1420200799729472292944035216,0.188504259228955,0.188504259228955,0.142714523941235,0.142714523941235,0.649840021339198,0.6614064361176212674586192338,0.4408641110875172674586192338,0.220542325030104,9.473947922778463147215851965,133.48128702640418268463685861,133.48128739182632958698040399,1742085000
11.71,4,0.1419969283117406990353941991,0.188459299833664,0.188459299833664,0.142691259073984,0.142691259073984,0.649530587561169,0.6610946198958460103278561418,0.4406406215940990103278561418,0.220453998301747,9.46948148443860049803397477,133.46326177503827492909578244,133.46326213793976123367703641,1743574000
11.72,4,0.1419738151068644232036306135,0.188414399979662,0.188414399979662,0.142668032851106,0.142668032851106,0.649221451273464,0.6607831045931145348031442359,0.4404172846311585348031442359,0.220365819961956,9.465019356443315756230546944,133.4452339993826359113302353,133.44523435976149048230772916,1745063000
11.73,4,0.1419507537220103542546870495,0.188369581726977,0.188369581726977,0.142644858701637,0.142644858701637,0.648912735436073,0.6604720144087202301858767873,0.4401942245536902301858767873,0.22027778985503,9.460563317816539734197477961,133.4272500831183099145283994,133.42725044097936570621176068,1746552000
11.74,4,0.1419277390952487327133593383,0.188324832686858,0.188324832686858,0.142621731538896,0.142621731538896,0.648604335802161,0.6601612444855742497997336007,0.4399713366603022497997336007,0.220189907825272,9.456111866591052516627836899,133.40924536966716603855238255,133.40924572500567864456785086,1748041000
11.75,4,0.1419047646295515794213617238,0.188280151860143,0.188280151860143,0.142598644733598,0.142598644733598,0.648296333117752,0.6598508753033087443603333873,0.4397487015863247443603333873,0.220102173716984,9.451666155552695617999578834,133.39125667961962201626765516,133.39125703243626982278186241,1749530000
11.76,4,0.1418818393885743023652525578,0.188235543581777,0.188235543581777,0.142575607393717,0.142575607393717,0.647988658807266,0.6595408387557804201023656684,0.4395262513813154201023656684,0.220014587374465,9.447225209152824743005772844,133.37329549135228266347893455,133.37329584164948147850234308,1751019000
11.77,4,0.1418589615176741641862178162,0.18819100555716,0.18819100555716,0.142552617655541,0.142552617655541,0.647681306773812,0.6592311286008877682892700526,0.4393039799588697682892700526,0.219927148642018,9.442788937979963044038328401,133.35531561647229184108082006,133.3553159642455421614384945,1752508000
11.78,4,0.1418361231755362107112324386,0.188146530316823,0.188146530316823,0.142529667639413,0.142529667639413,0.647374283158532,0.6589217504437689917529836835,0.4390818930798259917529836835,0.219839857363943,9.438357422321784965790314586,133.33734059812522177739565156,133.33734094337352227098463663,1753997000
11.79,4,0.1418133334837911075350904004,0.188102131101312,0.188102131101312,0.142506766511567,0.142506766511567,0.647067645906679,0.6586127630121389825315512834,0.4388600496275969825315512834,0.219752713384542,9.433931503390853888782709273,133.31940661332410753366657085,133.31940695605181528518502589,1755486000
11.80,4,0.1417905953744302583069907075,0.188057811799836,0.188057811799836,0.142483917218331,0.142483917218331,0.646761408399208,0.6583041799256550939767249203,0.4386384633775380939767249203,0.219665716548117,9.42951137627437479562253594,133.30146298572401200756937216,133.3014633259278954281386121,1756974000
11.81,4,0.1417678916657778965958917630,0.188013546540107,0.188013546540107,0.142461102494014,0.142461102494014,0.646455448158992,0.6579958772007785474914493006,0.4384170105018105474914493006,0.219578866698968,9.425095265039027820787749661,133.28351469830406052920586896,133.28351503598166613222458882,1758463000
11.82,4,0.1417452276527495447900993730,0.187969346866386,0.187969346866386,0.142438327659423,0.142438327659423,0.646149853999736,0.6576879442401562865871437620,0.4381957805587592865871437620,0.219492163681397,9.420684450283354898971419516,133.26560489620132111588851093,133.26560523135660080173991918,1759952000
11.83,4,0.1417226195539361251606344228,0.187925232927312,0.187925232927312,0.142415609012454,0.142415609012454,0.645844680420506,0.6573804368155944971698693598,0.4379748294758914971698693598,0.219405607339703,9.416279730879689010694523378,133.24768911461073264260060369,133.2476894472409302745105282,1761441000
11.84,4,0.1417000509096030087413860683,0.187881174682427,0.187881174682427,0.142392930012889,0.142392930012889,0.645539734936487,0.6570731608156458274872373223,0.4377539632974548274872373223,0.219319197518191,9.411878326386341840435016324,133.22976593633587075907676695,133.22976626643810269617160544,1762930000
11.85,4,0.1416775206259790865506299183,0.187837189466449,0.187837189466449,0.142370289561607,0.142370289561607,0.645235281202225,0.6567663804618149658105143764,0.4375334464006549658105143764,0.21923293406116,9.407484021497565988928990233,133.21187063345020019086528825,133.21187096102672288042125384,1764419000
11.86,4,0.1416550467784744768023001870,0.187793278599801,0.187793278599801,0.142347705822404,0.142347705822404,0.644931077711966,0.6564598549287525883931538539,0.4373130381158415883931538539,0.219146816812911,9.403093366644402188568354579,133.19399400900431887109608985,133.19399433405610398018552704,1765908000
11.87,4,0.1416326110857924429372913935,0.187749428395677,0.187749428395677,0.142325160424591,0.142325160424591,0.644627192089888,0.6561536507211641356614728687,0.4370928051034171356614728687,0.219060845617747,9.398707314436511810089201239,133.17609708669738065689503827,133.17609740921952312069270692,1767397000
11.88,4,0.1416102141772037965644032181,0.187705645465066,0.187705645465066,0.142302654000516,0.142302654000516,0.644323709812458,0.6558478535684591811861585559,0.4368728332484921811861585559,0.218975020319967,9.39432709285731609192646249,133.15821614837010014956053586,133.15821646836305929925291212,1768886000
11.89,4,0.1415878629867622999834015550,0.187661931563767,0.187661931563767,0.14228019351814,0.14228019351814,0.644020556098952,0.6555423889945544479378984104,0.4366530482306814479378984104,0.218889340763873,9.389951635115472892730184609,133.14036464431862697374840885,133.14036496178491329746950555,1770375000
11.90,4,0.1415655587946780898585814544,0.187618292480964,0.187618292480964,0.142257780263931,0.142257780263931,0.643717795296284,0.6552373215934513338090721856,0.4364335147996843338090721856,0.218803806793767,9.38558186645192446697832267,133.1225081349079753139894759,133.12250844984487769355018855,1771864000
11.91,4,0.1415433026593169431550738223,0.187574726005345,0.187574726005345,0.142235415301431,0.142235415301431,0.643415380534737,0.6549326044553519207010263515,0.4362141862014009207010263515,0.218718418253951,9.381217114933280653320922951,133.10465686351344980387663114,133.10465717591980964592811407,1773353000
11.92,4,0.1415210841651014272748714012,0.187531219145592,0.187531219145592,0.142213088164133,0.142213088164133,0.643113276073307,0.6546282010200862227617393308,0.4359950260313612227617393308,0.218633174988725,9.376856856873708598321986128,133.08680851289823838021923184,133.08680882277254505392563996,1774842000
11.93,4,0.1414989019417897980272421898,0.18748777222262,0.18748777222262,0.142190797475094,0.142190797475094,0.642811506240604,0.6543241355793867556823744275,0.4357760587369977556823744275,0.218548076842389,9.372501440226686942502490078,133.06899426463267075491999422,133.06899457197806960963450059,1776331000
11.94,4,0.1414767769890875176911605939,0.187444410410922,0.187444410410922,0.142168564336705,0.142168564336705,0.642510128533459,0.6540204672461101775977354344,0.4355573435868631775977354344,0.218463123659247,9.368151711721442550555503878,133.05116821710070818571376399,133.05116852191341409017504394,1777820000
11.95,4,0.1414546785910397992004008934,0.187401093136424,0.187401093136424,0.142146357882816,0.142146357882816,0.642209005199986,0.6537170557736212693950970888,0.4353387404900232693950970888,0.218378315283598,9.363805662473001564872937004,133.03333691659019949140401369,133.03333721886743883284747047,1779309000
11.96,4,0.1414326369892531727765859515,0.187357867121008,0.187357867121008,0.142124208502908,0.142124208502908,0.641908368743155,0.6534141363576799124850699399,0.4351204847979349124850699399,0.218293651559745,9.359466661412433598061812929,133.01553653147691571392249753,133.01553683122124613387551538,1780798000
11.97,4,0.1414106320098756671715888168,0.187314694271692,0.187314694271692,0.142102095924484,0.142102095924484,0.641607965026118,0.6531114528232698501361049746,0.4349023204912828501361049746,0.218209132331987,9.355131039102939038772177935,132.99775244605112179788996393,132.99775274326300388178543383,1782287000
11.98,4,0.1413886636940118022561744470,0.187271581872761,0.187271581872761,0.142080020188849,0.142080020188849,0.641307897626844,0.6528091090041747053556473408,0.4346843515595467053556473408,0.218124757444628,9.350800282853894797525009895,132.97994840417561961361937804,132.97994869884998791232327029,1783776000
11.99,4,0.1413667505521420674823447328,0.187228553311264,0.187228553311264,0.142057999896996,0.142057999896996,0.641008234339568,0.6525071741608857226680264982,0.4344666474189187226680264982,0.218040526741967,9.346475384748786466927332286,132.9621651812917006867345851,132.96216547342958668112949856,1785265000
12.00,4,0.1413448747631981718422532812,0.187185585983344,0.187185585983344,0.142036017140715,0.142036017140715,0.640708908638785,0.6522055803531840800988838880,0.4342491402848790800988838880,0.217956440068305,9.342155371615705711457100185,132.94438710503272772394362869,132.94438739463280771187464788,1786754000
