Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio
7.749999999999879,29.4903412343629,2577461.210561292,0.0432,1.2544,0.97,85185.55970392369,4.5
7.759999999999879,29.464473650627017,2577195.8912174916,0.0432,1.2544,0.97,85176.79085157035,4.5
7.769999999999879,29.43860873120111,2576930.450946876,0.0432,1.2544,0.97,85168.01800256384,4.5
7.779999999999879,29.41274647729935,2576664.8897025115,0.0432,1.2544,0.97,85159.24115535305,4.5
7.789999999999878,29.38688689013639,2576399.207437037,0.0432,1.2544,0.97,85150.46030837265,4.5
7.799999999999878,29.361029970927355,2576133.4041034253,0.0432,1.2544,0.97,85141.67546006839,4.5
7.809999999999878,29.335175720887833,2575867.479654304,0.0432,1.2544,0.97,85132.88660887463,4.5
7.819999999999878,29.30932414123391,2575601.43404225,0.0432,1.2544,0.97,85124.09375322398,4.5
7.8299999999998775,29.283475233182124,2575335.267219564,0.0432,1.2544,0.97,85115.29689154,4.5
7.839999999999877,29.257628997949517,2575068.9791388023,0.0432,1.2544,0.97,85106.49602225467,4.5
7.849999999999877,29.23178543675359,2574802.5697520883,0.0432,1.2544,0.97,85097.69114378565,4.5
7.859999999999877,29.20594455081233,2574536.0390115576,0.0432,1.2544,0.97,85088.882254551,4.5
7.869999999999877,29.180106341344214,2574269.3868693556,0.0432,1.2544,0.97,85080.06935296915,4.5
7.879999999999876,29.154270809568196,2574002.613277311,0.0432,1.2544,0.97,85071.25243744801,4.5
7.889999999999876,29.128437956703703,2573735.7181874327,0.0432,1.2544,0.97,85062.43150640147,4.5
7.899999999999876,29.10260778397066,2573468.7015513307,0.0432,1.2544,0.97,85053.60655823021,4.5
7.909999999999876,29.076780292589472,2573201.563320584,0.0432,1.2544,0.97,85044.77759133394,4.5
7.919999999999876,29.05095548378104,2572934.303446829,0.0432,1.2544,0.97,85035.94460411421,4.5
7.929999999999875,29.025133358766723,2572666.9218815826,0.0432,1.2544,0.97,85027.10759496866,4.5
7.939999999999875,28.999313918768408,2572399.418575878,0.0432,1.2544,0.97,85018.26656227892,4.5
7.949999999999875,28.973497165008453,2572131.7934810934,0.0432,1.2544,0.97,85009.42150443805,4.5
7.959999999999875,28.947683098709703,2571864.046548386,0.0432,1.2544,0.97,85000.57241983176,4.5
7.9699999999998745,28.921871721095503,2571596.1777286907,0.0432,1.2544,0.97,84991.71930683845,4.5
7.979999999999874,28.896063033389677,2571328.186972948,0.0432,1.2544,0.97,84982.86216383669,4.5
7.989999999999874,28.87025703681656,2571060.0742318984,0.0432,1.2544,0.97,84974.00098919845,4.5
7.999999999999874,28.844453732600975,2570791.839456293,0.0432,1.2544,0.97,84965.13578129605,4.5
8.009999999999874,28.81865312196824,2570523.4825966773,0.0432,1.2544,0.97,84956.26653849501,4.5
8.019999999999873,28.79285520614417,2570255.0036035865,0.0432,1.2544,0.97,84947.3932591605,4.5
8.029999999999873,28.76705998635508,2569986.4024272645,0.0432,1.2544,0.97,84938.51594164806,4.5
8.039999999999873,28.74126746382778,2569717.6790182074,0.0432,1.2544,0.97,84929.63458432161,4.5
8.049999999999873,28.715477639789587,2569448.833326287,0.0432,1.2544,0.97,84920.74918552439,4.5
8.059999999999873,28.689690515468314,2569179.8653018703,0.0432,1.2544,0.97,84911.85974361599,4.5
8.069999999999872,28.663906092092283,2568910.774894592,0.0432,1.2544,0.97,84902.96625693188,4.5
8.079999999999872,28.638124370890303,2568641.56205464,0.0432,1.2544,0.97,84894.06872382572,4.5
8.089999999999872,28.612345353091715,2568372.2267314447,0.0432,1.2544,0.97,84885.1671426262,4.5
8.099999999999872,28.58656903992634,2568102.768874768,0.0432,1.2544,0.97,84876.26151167294,4.5
8.109999999999872,28.560795432624513,2567833.188434157,0.0432,1.2544,0.97,84867.35182929844,4.5
8.119999999999871,28.535024532417083,2567563.485359057,0.0432,1.2544,0.97,84858.43809383188,4.5
8.129999999999871,28.5092563405354,2567293.6595987347,0.0432,1.2544,0.97,84849.52030359651,4.5
8.139999999999871,28.483490858211333,2567023.711102355,0.0432,1.2544,0.97,84840.59845691221,4.5
8.14999999999987,28.457728086677257,2566753.6398190283,0.0432,1.2544,0.97,84831.6725520971,4.5
8.15999999999987,28.431968027166057,2566483.4456978114,0.0432,1.2544,0.97,84822.74258746747,4.5
8.16999999999987,28.406210680911133,2566213.1286874595,0.0432,1.2544,0.97,84813.80856132966,4.5
8.17999999999987,28.380456049146396,2565942.688736883,0.0432,1.2544,0.97,84804.87047199518,4.5
8.18999999999987,28.35470413310628,2565672.1257947455,0.0432,1.2544,0.97,84795.92831776734,4.5
8.19999999999987,28.328954934025724,2565401.4398094793,0.0432,1.2544,0.97,84786.9820969418,4.5
8.20999999999987,28.303208453140194,2565130.6307296525,0.0432,1.2544,0.97,84778.03180781877,4.5
8.21999999999987,28.277464691685676,2564859.698503577,0.0432,1.2544,0.97,84769.07744868992,4.5
8.229999999999869,28.25172365089867,2564588.64307935,0.0432,1.2544,0.97,84760.11901783982,4.5
8.239999999999869,28.225985332016187,2564317.46440531,0.0432,1.2544,0.97,84751.15651356112,4.5
8.249999999999869,28.200249736275783,2564046.162429372,0.0432,1.2544,0.97,84742.18993413234,4.5
8.259999999999868,28.174516864915525,2563774.7370994403,0.0432,1.2544,0.97,84733.21927783177,4.5
8.269999999999868,28.14878671917399,2563503.1883634385,0.0432,1.2544,0.97,84724.2445429382,4.5
8.279999999999868,28.123059300290315,2563231.516168851,0.0432,1.2544,0.97,84715.26572771605,4.5
8.289999999999868,28.097334609504124,2562959.7204632787,0.0432,1.2544,0.97,84706.28283043347,4.5
8.299999999999867,28.07161264805559,2562687.8011942822,0.0432,1.2544,0.97,84697.29584935735,4.5
8.309999999999867,28.045893417185418,2562415.758309253,0.0432,1.2544,0.97,84688.30478274896,4.5
8.319999999999867,28.020176918134833,2562143.591755318,0.0432,1.2544,0.97,84679.30962886085,4.5
8.329999999999867,27.994463152145585,2561871.301479761,0.0432,1.2544,0.97,84670.31038595072,4.5
8.339999999999867,27.96875212045997,2561598.8874294814,0.0432,1.2544,0.97,84661.30705226361,4.5
8.349999999999866,27.94304382432081,2561326.3495514444,0.0432,1.2544,0.97,84652.29962604669,4.5
8.359999999999866,27.917338264971463,2561053.6877923934,0.0432,1.2544,0.97,84643.28810553983,4.5
8.369999999999866,27.89163544365581,2560780.9020991875,0.0432,1.2544,0.97,84634.27248898671,4.5
8.379999999999866,27.86593536161829,2560507.9924182077,0.0432,1.2544,0.97,84625.2527746152,4.5
8.389999999999866,27.840238020103868,2560234.958696065,0.0432,1.2544,0.97,84616.22896066081,4.5
8.399999999999865,27.814543420358035,2559961.8008791795,0.0432,1.2544,0.97,84607.2010453527,4.5
8.409999999999865,27.788851563626842,2559688.5189136257,0.0432,1.2544,0.97,84598.16902690862,4.5
8.419999999999865,27.763162451156873,2559415.1127456604,0.0432,1.2544,0.97,84589.13290355235,4.5
8.429999999999865,27.73747608419525,2559141.5823213514,0.0432,1.2544,0.97,84580.09267350142,4.5
8.439999999999864,27.71179246398965,2558867.927586426,0.0432,1.2544,0.97,84571.04833496212,4.5
8.449999999999864,27.68611159178827,2558594.1484869034,0.0432,1.2544,0.97,84561.99988615036,4.5
8.459999999999864,27.660433468839877,2558320.2449683524,0.0432,1.2544,0.97,84552.94732526717,4.5
8.469999999999864,27.634758096393764,2558046.2169763255,0.0432,1.2544,0.97,84543.89065051307,4.5
8.479999999999864,27.609085475699793,2557772.0644564284,0.0432,1.2544,0.97,84534.82986009032,4.5
8.489999999999863,27.58341560800836,2557497.7873538956,0.0432,1.2544,0.97,84525.7649521889,4.5
8.499999999999863,27.557748494570408,2557223.3856140524,0.0432,1.2544,0.97,84516.6959250018,4.5
8.509999999999863,27.532084136637444,2556948.8591818525,0.0432,1.2544,0.97,84507.62277670974,4.5
8.519999999999863,27.50642253546152,2556674.208002564,0.0432,1.2544,0.97,84498.5455055038,4.5
8.529999999999863,27.480763692295234,2556399.432020988,0.0432,1.2544,0.97,84489.46410955967,4.5
8.539999999999862,27.455107608391746,2556124.531181805,0.0432,1.2544,0.97,84480.37858704902,4.5
8.549999999999862,27.429454285004773,2555849.5054297824,0.0432,1.2544,0.97,84471.2889361464,4.5
8.559999999999862,27.403803723388588,2555574.354709434,0.0432,1.2544,0.97,84462.195155018,4.5
8.569999999999862,27.378155924798016,2555299.078965301,0.0432,1.2544,0.97,84453.09724183087,4.5
8.579999999999862,27.35251089048844,2555023.678141581,0.0432,1.2544,0.97,84443.99519474074,4.5
8.589999999999861,27.326868621715814,2554748.1521826535,0.0432,1.2544,0.97,84434.88901190934,4.5
8.599999999999861,27.301229119736647,2554472.501032502,0.0432,1.2544,0.97,84425.77869148532,4.5
8.60999999999986,27.275592385808004,2554196.7246350595,0.0432,1.2544,0.97,84416.66423161566,4.5
8.61999999999986,27.249958421187518,2553920.822934428,0.0432,1.2544,0.97,84407.54563045292,4.5
8.62999999999986,27.224327227133386,2553644.7958740904,0.0432,1.2544,0.97,84398.42288612918,4.5
8.63999999999986,27.198698804904385,2553368.64339781,0.0432,1.2544,0.97,84389.29599678583,4.5
8.64999999999986,27.173073155759834,2553092.365449256,0.0432,1.2544,0.97,84380.16496056112,4.5
8.65999999999986,27.14745028095963,2552815.961971587,0.0432,1.2544,0.97,84371.02977557643,4.5
8.66999999999986,27.121830181764246,2552539.432908205,0.0432,1.2544,0.97,84361.89043996118,4.5
8.67999999999986,27.09621285943472,2552262.7782023195,0.0432,1.2544,0.97,84352.74695183845,4.5
8.68999999999986,27.07059831523266,2551985.997796888,0.0432,1.2544,0.97,84343.59930932296,4.5
8.699999999999859,27.044986550420255,2551709.0916350163,0.0432,1.2544,0.97,84334.44751053434,4.5
8.709999999999859,27.019377566260253,2551432.059659518,0.0432,1.2544,0.97,84325.29155358259,4.5
8.719999999999859,26.993771364015988,2551154.9018129096,0.0432,1.2544,0.97,84316.13143656787,4.5
8.729999999999858,26.968167944951368,2550877.618037976,0.0432,1.2544,0.97,84306.96715759918,4.5
8.739999999999858,26.942567310330883,2550600.2082770504,0.0432,1.2544,0.97,84297.79871477066,4.5
8.749999999999858,26.91696946141959,2550322.672472694,0.0432,1.2544,0.97,84288.62610618392,4.5
