,time,x,y,z,v_x,v_y,v_z
179,22.343617894609544,-1.3819010456323904e-12,-16.924083163656608,8985.578291703969,-1.107621747501114e-13,-1.1989127365313206,571.9480994326028
180,22.505043539584026,-1.3997803750510814e-12,-17.22432438452504,9077.706343333879,-1.1075500611000673e-13,-1.2037432212188768,569.4814750493933
181,22.56519015540108,-1.4064418024472902e-12,-17.336668509601513,9111.930866267601,-1.1075102174934909e-13,-1.2055185966777007,568.5562170464477
182,22.625336771218134,-1.4131029658701517e-12,-17.449268978149277,9146.099625710716,-1.1074644986077214e-13,-1.2072822431974841,567.6283709861747
183,22.707816303289476,-1.422237259985994e-12,-17.604094204781553,9192.864690099726,-1.1073943107366392e-13,-1.2096838018920275,566.3528507490956
184,22.784154291225384,-1.4306905874581722e-12,-17.747816818055075,9236.05355315056,-1.1073153915056071e-13,-1.2118832499033443,565.1663862108754
185,22.86387811111427,-1.4395181799533349e-12,-17.89834899944107,9281.061215598156,-1.1072259087977672e-13,-1.2141640667079712,563.9248877264685
186,22.94360193100316,-1.4483449953108237e-12,-18.04932335414692,9325.969632558821,-1.1071215181400402e-13,-1.2164202791222365,562.6772404086236
187,23.0171057997796,-1.4564821276689842e-12,-18.188908816787183,9367.286162152535,-1.1070177635989462e-13,-1.2184852492221003,561.5245901184378
188,23.085426038571466,-1.4640452056032981e-12,-18.3189842594517,9405.612826646546,-1.1069110083623256e-13,-1.2203865069375126,560.4489497652135
189,23.17979750616058,-1.4744900152921253e-12,-18.49918535502472,9458.432906884987,-1.1067532056547139e-13,-1.2229927423349087,558.9604279495456
190,23.26532890065274,-2.011655753605643e-12,-18.663031335093965,9506.183546077937,-1.4161304208332215e-13,-1.225329139521049,557.6060749048067
191,23.390298667555548,-2.029345282033268e-12,-18.903318534058894,9575.743451397664,-1.4147834976944486e-13,-1.2287075722424095,555.6223019427947
192,23.490278177610474,-1.508843902656418e-12,-19.09631324010046,9631.214586848895,-1.1061360567965905e-13,-1.2313768629888715,554.0295574308763
193,23.582389902113647,-1.5190317429826319e-12,-19.274712712712017,9682.179283067953,-1.1059244864874843e-13,-1.2338089523766158,552.5574335349298
194,23.64237394496577,-1.5256645305227755e-12,-19.391192130299117,9715.295062376375,-1.1057820990649105e-13,-1.2353822549997697,551.597932001196
195,23.70235798781789,-1.5322975901322245e-12,-19.50791024197015,9748.35319693138,-1.1056339041920835e-13,-1.2369428204281756,550.6357906557131
196,23.76804802636639,-1.5395599609635394e-12,-19.636004035304552,9784.489772252882,-1.10546832981962e-13,-1.238643271901969,549.5818075222832
197,23.95692992934509,-1.5604352207892422e-12,-20.005898047066918,9888.008512236735,-1.1049619321631135e-13,-1.2434650593469394,546.5416074977837
198,24.088061540604993,-1.5749226372177883e-12,-20.264065987313728,9959.538440303524,-1.1045904979107714e-13,-1.2467590558436337,544.4250691839906
199,24.219193151864896,-1.5894044704365098e-12,-20.52334562365157,10030.790495359974,-1.1042027707035985e-13,-1.2500094246105582,542.3039129477542
